"athlete_id_1","player_name","attempts_Late_Tight","makes_Late_Tight","attempts_Baseline","makes_Baseline","pct_Late_Tight","pct_Baseline","delta_pp","label"
952,"Abby Bishop",9,2,208,85,0.222222222222222,0.408653846153846,-18.6431623931624,"Anti-clutch"
2529078,"Jordan Hooper",19,4,602,239,0.210526315789474,0.397009966777409,-18.6483650987935,"Anti-clutch"
670,"Sherill Baker",20,6,636,311,0.3,0.488993710691824,-18.8993710691824,"Anti-clutch"
900,"Andrea  Riley",16,4,419,184,0.25,0.439140811455847,-18.9140811455847,"Anti-clutch"
601,"Katie Feenstra",16,6,769,438,0.375,0.569570871261378,-19.4570871261378,"Anti-clutch"
2568417,"Jazmon Gwathmey",9,2,351,147,0.222222222222222,0.418803418803419,-19.6581196581197,"Anti-clutch"
577,"Mandisa Stevenson",0,0,5,1,0,0.2,-20,"Anti-clutch"
697,"Sabrina Palie",0,0,25,5,0,0.2,-20,"Anti-clutch"
883,"Gabriela Marginean",0,0,5,1,0,0.2,-20,"Anti-clutch"
1045,"Felicia Chester",0,0,5,1,0,0.2,-20,"Anti-clutch"
3007779,"Shae Kelley",0,0,5,1,0,0.2,-20,"Anti-clutch"
3142057,"Arica Carter",0,0,5,1,0,0.2,-20,"Anti-clutch"
3142082,"Chloe Jackson",0,0,15,3,0,0.2,-20,"Anti-clutch"
4898400,"Taylor Thierry",0,0,15,3,0,0.2,-20,"Anti-clutch"
829,"Tasha Humphrey",24,7,416,205,0.291666666666667,0.492788461538462,-20.1121794871795,"Anti-clutch"
3922628,"Kennedy Burke",15,4,933,453,0.266666666666667,0.485530546623794,-21.8863879957128,"Anti-clutch"
659,"Tiffany Stansbury",4,1,161,76,0.25,0.472049689440994,-22.2049689440994,"Anti-clutch"
1112,"Briana Butler",5,1,289,122,0.2,0.422145328719723,-22.2145328719723,"Anti-clutch"
908,"Alison Lacey",0,0,40,9,0,0.225,-22.5,"Anti-clutch"
4068042,"Natasha Mack",3,1,346,197,0.333333333333333,0.569364161849711,-23.6030828516378,"Anti-clutch"
875,"Megan  Frazee",8,2,207,102,0.25,0.492753623188406,-24.2753623188406,"Anti-clutch"
2325265,"Angel Goodrich",10,2,267,120,0.2,0.449438202247191,-24.9438202247191,"Anti-clutch"
1075,"Dawn  Evans",0,0,4,1,0,0.25,-25,"Anti-clutch"
1078,"Katelan  Redmon",0,0,16,4,0,0.25,-25,"Anti-clutch"
2324993,"Chelsea Hopkins",0,0,28,7,0,0.25,-25,"Anti-clutch"
2984730,"Jillian Alleyne",0,0,8,2,0,0.25,-25,"Anti-clutch"
3007761,"Nirra Fields",1,0,8,2,0,0.25,-25,"Anti-clutch"
4011216,"Frida Eldebrink",2,0,8,2,0,0.25,-25,"Anti-clutch"
4281914,"Sam Thomas",0,0,24,6,0,0.25,-25,"Anti-clutch"
4433510,"Megan McConnell",0,0,4,1,0,0.25,-25,"Anti-clutch"
2235933,"Yvonne Turner",9,2,772,365,0.222222222222222,0.47279792746114,-25.0575705238918,"Anti-clutch"
4065832,"Jasmine Walker",0,0,86,22,0,0.255813953488372,-25.5813953488372,"Anti-clutch"
738,"Tamika Raymond",4,1,142,72,0.25,0.507042253521127,-25.7042253521127,"Anti-clutch"
740,"Ashley Shields",6,1,246,105,0.166666666666667,0.426829268292683,-26.0162601626016,"Anti-clutch"
1021,"Darxia Morris",0,0,19,5,0,0.263157894736842,-26.3157894736842,"Anti-clutch"
758,"Claire Coggins",4,0,75,20,0,0.266666666666667,-26.6666666666667,"Anti-clutch"
4065692,"Aaliyah Wilson",0,0,30,8,0,0.266666666666667,-26.6666666666667,"Anti-clutch"
4068092,"Kathleen Doyle",0,0,45,12,0,0.266666666666667,-26.6666666666667,"Anti-clutch"
3934218,"Megan Gustafson",7,2,743,411,0.285714285714286,0.553162853297443,-26.7448567583157,"Anti-clutch"
671,"Brooke Queenan",0,0,11,3,0,0.272727272727273,-27.2727272727273,"Anti-clutch"
203,"Kristi Harrower",7,1,127,54,0.142857142857143,0.425196850393701,-28.2339707536558,"Anti-clutch"
911,"Chanel Mokango",0,0,21,6,0,0.285714285714286,-28.5714285714286,"Anti-clutch"
2566091,"Brene Moseley",0,0,28,8,0,0.285714285714286,-28.5714285714286,"Anti-clutch"
4038419,"Maimouna Diarra",0,0,7,2,0,0.285714285714286,-28.5714285714286,"Anti-clutch"
1081,"Dymond  Simon",0,0,45,13,0,0.288888888888889,-28.8888888888889,"Anti-clutch"
694,"Shona Thorburn",0,0,38,11,0,0.289473684210526,-28.9473684210526,"Anti-clutch"
3055808,"Sydney Wiese",14,2,485,211,0.142857142857143,0.435051546391753,-29.219440353461,"Anti-clutch"
1010,"Ify Ibekwe",0,0,17,5,0,0.294117647058824,-29.4117647058824,"Anti-clutch"
3055794,"Hind Ben Abdelkader",0,0,51,15,0,0.294117647058824,-29.4117647058824,"Anti-clutch"
4398899,"Grace Berger",12,2,283,131,0.166666666666667,0.462897526501767,-29.62308598351,"Anti-clutch"
3056640,"Makayla Epps",0,0,27,8,0,0.296296296296296,-29.6296296296296,"Anti-clutch"
4281223,"Aisha Sheppard",0,0,54,16,0,0.296296296296296,-29.6296296296296,"Anti-clutch"
567,"Katie Cronin",0,0,37,11,0,0.297297297297297,-29.7297297297297,"Anti-clutch"
4065820,"Kysre Gondrezick",0,0,57,17,0,0.298245614035088,-29.8245614035088,"Anti-clutch"
470,"Coretta Brown",0,0,67,20,0,0.298507462686567,-29.8507462686567,"Anti-clutch"
328,"Elaine Powell",9,2,282,147,0.222222222222222,0.521276595744681,-29.9054373522459,"Anti-clutch"
755,"Lindsay Bowen",0,0,10,3,0,0.3,-30,"Anti-clutch"
4282471,"Chelsey Perry",0,0,20,6,0,0.3,-30,"Anti-clutch"
4790266,"Awak Kuier",6,1,302,141,0.166666666666667,0.466887417218543,-30.0220750551876,"Anti-clutch"
644,"Jacqueline Batteast",0,0,63,19,0,0.301587301587302,-30.1587301587302,"Anti-clutch"
2490622,"Lindsey Moore",0,0,62,19,0,0.306451612903226,-30.6451612903226,"Anti-clutch"
2529692,"Heather Butler",0,0,13,4,0,0.307692307692308,-30.7692307692308,"Anti-clutch"
4038365,"Shao Ting",0,0,13,4,0,0.307692307692308,-30.7692307692308,"Anti-clutch"
789,"A'Quonesia Franklin",0,0,94,29,0,0.308510638297872,-30.8510638297872,"Anti-clutch"
358,"Kelly Schumacher",11,2,432,212,0.181818181818182,0.490740740740741,-30.8922558922559,"Anti-clutch"
807,"Krystal Vaughn",0,0,29,9,0,0.310344827586207,-31.0344827586207,"Anti-clutch"
4068885,"Amy Atwell",0,0,29,9,0,0.310344827586207,-31.0344827586207,"Anti-clutch"
219,"Dalma Ivanyi",1,0,61,19,0,0.311475409836066,-31.1475409836066,"Anti-clutch"
840,"Ashley Walker",0,0,70,22,0,0.314285714285714,-31.4285714285714,"Anti-clutch"
4399114,"Lou Lopez Senechal",0,0,38,12,0,0.315789473684211,-31.5789473684211,"Anti-clutch"
4398567,"Taylor Soule",0,0,22,7,0,0.318181818181818,-31.8181818181818,"Anti-clutch"
813,"Sharnee Zoll-Norman",0,0,47,15,0,0.319148936170213,-31.9148936170213,"Anti-clutch"
323,"Bridget Pettis",0,0,25,8,0,0.32,-32,"Anti-clutch"
4433309,"Elizabeth Kitley",0,0,25,8,0,0.32,-32,"Anti-clutch"
861,"Christina Wirth",0,0,37,12,0,0.324324324324324,-32.4324324324324,"Anti-clutch"
691,"Emmeline Ndongue",0,0,40,13,0,0.325,-32.5,"Anti-clutch"
NA,NA,1,0,104,34,0,0.326923076923077,-32.6923076923077,"Anti-clutch"
2590092,"Kaleena Mosqueda-Lewis",9,1,850,376,0.111111111111111,0.442352941176471,-33.124183006536,"Anti-clutch"
2327542,"Courtney Clements",0,0,226,75,0,0.331858407079646,-33.1858407079646,"Anti-clutch"
106,"Edwina Brown",0,0,3,1,0,0.333333333333333,-33.3333333333333,"Anti-clutch"
293,"Tausha Mills",0,0,21,7,0,0.333333333333333,-33.3333333333333,"Anti-clutch"
717,"Dee Davis",0,0,6,2,0,0.333333333333333,-33.3333333333333,"Anti-clutch"
